diphen,sert,dead,n
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0,0,5
0,0.1,0,5
0,0.1,0,5
0,0.1,0,5
0,0.1,0,5
0,0.15,0,5
0,0.15,0,5
0,0.15,0,5
0,0.15,0,5
0,0.2,0,5
0,0.2,0,5
0,0.2,0,5
0,0.2,0,5
0,0.233,0,5
0,0.233,0,5
0,0.233,0,5
0,0.267,0,5
0,0.267,0,5
0,0.267,0,5
0,0.267,0,5
0,0.3,0,5
0,0.3,0,6
0,0.3,0,5
0,0.3,0,5
0,0.333,1,5
0,0.333,0,5
0,0.333,0,6
0,0.333,0,5
0,0.367,0,5
0,0.367,0,5
0,0.367,2,5
0,0.367,0,5
0,0.4,1,5
0,0.4,3,5
0,0.4,3,6
0,0.4,3,5
0,0.433,3,6
0,0.433,3,5
0,0.433,3,5
0,0.433,4,5
0,0.467,2,5
0,0.467,5,7
0,0.467,3,5
0,0.5,4,6
0,0.5,7,8
0,0.5,8,8
0,0.5,5,6
0,0.55,4,5
0,0.55,5,6
0,0.55,5,5
0,0.55,4,5
0,0.6,5,5
0,0.6,5,5
0,0.6,5,5
0,0.6,6,6
1,0,0,5
1,0,0,5
1,0,0,5
1,0,0,5
1.5,0,0,7
1.5,0,0,11
1.5,0,0,8
1.5,0,0,7
1.75,0,0,5
1.75,0,0,5
1.75,0,0,5
1.75,0,0,5
2,0,0,7
2,0,0,5
2,0,0,5
2,0,0,5
2.25,0,0,5
2.25,0,0,5
2.25,0,0,5
2.25,0,0,5
2.5,0,0,4
2.5,0,0,5
2.5,0,0,5
2.5,0,0,5
2.75,0,2,6
2.75,0,0,5
2.75,0,1,5
2.75,0,1,5
3,0,1,5
3,0,1,5
3,0,0,5
3,0,1,5
3.25,0,0,5
3.25,0,1,5
3.25,0,0,5
3.25,0,0,5
3.5,0,0,5
3.5,0,3,5
3.5,0,2,5
3.5,0,4,5
3.75,0,1,5
3.75,0,2,5
3.75,0,3,5
3.75,0,4,5
4,0,2,4
4,0,2,5
4,0,4,5
4,0,4,5
4.25,0,3,6
4.25,0,1,5
4.25,0,2,5
4.25,0,0,5
4.5,0,3,4
4.5,0,4,5
4.5,0,5,5
4.5,0,5,5
1,0.1,0,5
1,0.1,0,5
1,0.1,0,5
1,0.1,0,5
1,0.2,0,5
1,0.2,0,5
1,0.2,1,5
1,0.2,0,6
1,0.267,0,6
1,0.267,1,5
1,0.267,1,5
1,0.267,2,5
1,0.333,1,5
1,0.333,2,6
1,0.333,2,5
1,0.333,0,5
1,0.4,3,5
1,0.4,1,5
1,0.4,0,5
1,0.4,2,7
1,0.467,4,6
1,0.467,6,7
1,0.467,5,6
1,0.467,5,5
1,0.55,4,5
1,0.55,5,5
1,0.55,5,5
1,0.55,5,5
1.5,0.15,1,5
1.5,0.15,0,5
1.5,0.15,0,5
1.5,0.15,0,5
1.5,0.233,2,6
1.5,0.233,1,5
1.5,0.233,0,6
1.5,0.233,1,6
1.5,0.3,3,5
1.5,0.3,2,5
1.5,0.3,1,5
1.5,0.3,1,5
1.5,0.367,3,5
1.5,0.367,4,6
1.5,0.367,3,5
1.5,0.367,4,5
1.5,0.433,5,5
1.5,0.433,5,5
1.5,0.433,5,5
1.5,0.433,5,5
1.5,0.5,8,8
1.5,0.5,6,6
1.5,0.5,7,7
1.5,0.6,6,6
1.5,0.6,6,6
1.5,0.6,5,5
1.5,0.6,7,7
1.75,0.1,0,5
1.75,0.1,0,5
1.75,0.1,0,5
1.75,0.1,0,5
1.75,0.2,2,6
1.75,0.2,1,5
1.75,0.2,0,5
1.75,0.2,0,5
1.75,0.267,0,7
1.75,0.267,0,7
1.75,0.267,2,6
1.75,0.267,1,5
1.75,0.333,1,6
1.75,0.333,3,5
1.75,0.333,3,5
1.75,0.333,2,5
1.75,0.4,1,5
1.75,0.4,3,6
1.75,0.4,6,6
1.75,0.4,2,4
1.75,0.467,5,6
1.75,0.467,3,6
1.75,0.467,3,5
1.75,0.467,5,5
1.75,0.55,6,6
1.75,0.55,5,6
1.75,0.55,5,5
1.75,0.55,5,5
2,0.15,1,5
2,0.15,0,5
2,0.15,1,5
2,0.15,1,5
2,0.233,2,7
2,0.233,1,5
2,0.233,1,5
2,0.233,1,4
2,0.3,3,5
2,0.3,4,5
2,0.3,2,5
2,0.3,5,5
2,0.367,5,5
2,0.367,3,5
2,0.367,4,5
2,0.367,4,5
2,0.433,6,6
2,0.433,4,4
2,0.433,6,6
2,0.433,5,5
2,0.5,6,6
2,0.5,5,5
2,0.5,5,5
2,0.5,5,5
2,0.6,5,5
2,0.6,4,4
2,0.6,5,5
2,0.6,5,5
2.25,0.1,0,5
2.25,0.1,0,5
2.25,0.1,0,6
2.25,0.1,0,6
2.25,0.2,0,5
2.25,0.2,2,6
2.25,0.2,0,5
2.25,0.267,2,4
2.25,0.267,3,5
2.25,0.267,3,6
2.25,0.267,3,5
2.25,0.333,2,5
2.25,0.333,3,5
2.25,0.333,3,5
2.25,0.333,1,5
2.25,0.4,4,5
2.25,0.4,4,5
2.25,0.4,4,5
2.25,0.4,4,6
2.25,0.467,3,5
2.25,0.467,5,5
2.25,0.467,6,6
2.25,0.467,5,5
2.25,0.55,5,5
2.25,0.55,5,5
2.25,0.55,5,5
2.25,0.55,5,5
2.5,0.15,1,5
2.5,0.15,4,6
2.5,0.15,1,5
2.5,0.15,2,6
2.5,0.233,2,7
2.5,0.233,3,4
2.5,0.233,4,6
2.5,0.233,2,5
2.5,0.3,5,5
2.5,0.3,5,5
2.5,0.3,5,5
2.5,0.3,5,5
2.5,0.367,5,5
2.5,0.367,4,4
2.5,0.367,5,5
2.5,0.367,7,7
2.5,0.433,6,6
2.5,0.433,7,7
2.5,0.433,6,6
2.5,0.433,5,5
2.5,0.5,5,5
2.5,0.5,5,5
2.5,0.5,7,7
2.5,0.5,5,5
2.5,0.6,5,5
2.5,0.6,5,5
2.5,0.6,5,5
2.5,0.6,5,5
2.75,0.1,0,5
2.75,0.1,1,5
2.75,0.1,0,5
2.75,0.1,0,5
2.75,0.2,3,5
2.75,0.2,2,6
2.75,0.2,3,6
2.75,0.2,3,5
2.75,0.267,1,5
2.75,0.267,2,5
2.75,0.267,2,5
2.75,0.267,2,5
2.75,0.333,4,5
2.75,0.333,2,4
2.75,0.333,3,5
2.75,0.333,2,6
2.75,0.4,5,5
2.75,0.4,5,5
2.75,0.4,5,5
2.75,0.4,5,5
2.75,0.467,4,5
2.75,0.467,6,7
2.75,0.467,5,5
2.75,0.467,6,6
2.75,0.55,5,5
2.75,0.55,5,5
2.75,0.55,6,6
2.75,0.55,5,5
3,0.15,3,5
3,0.15,5,5
3,0.15,2,5
3,0.15,4,5
3,0.233,5,5
3,0.233,3,5
3,0.233,5,5
3,0.3,5,6
3,0.3,6,6
3,0.3,4,5
3,0.3,4,5
3,0.367,5,5
3,0.367,5,5
3,0.367,5,5
3,0.367,6,6
3,0.433,6,6
3,0.433,5,5
3,0.433,5,5
3,0.433,5,5
3,0.5,5,5
3,0.5,5,5
3,0.5,5,5
3,0.6,5,5
3,0.6,5,5
3,0.6,5,5
3,0.6,5,5
3.25,0.1,0,5
3.25,0.1,0,5
3.25,0.1,2,5
3.25,0.1,0,5
3.25,0.2,3,5
3.25,0.2,2,5
3.25,0.2,3,4
3.25,0.2,2,5
3.25,0.267,3,5
3.25,0.267,4,5
3.25,0.267,3,5
3.25,0.267,4,5
3.25,0.333,5,5
3.25,0.333,5,5
3.25,0.333,5,5
3.25,0.333,5,5
3.25,0.4,6,6
3.25,0.4,4,5
3.25,0.4,6,6
3.25,0.4,4,5
3.25,0.467,5,6
3.25,0.467,7,7
3.25,0.467,5,5
3.25,0.467,5,5
3.25,0.55,5,5
3.25,0.55,6,6
3.25,0.55,5,5
3.25,0.55,5,5
3.5,0.15,2,4
3.5,0.15,3,5
3.5,0.15,4,5
3.5,0.15,4,5
3.5,0.233,4,5
3.5,0.233,4,6
3.5,0.233,5,5
3.5,0.233,5,5
3.5,0.3,5,5
3.5,0.3,6,6
3.5,0.3,5,5
3.5,0.3,5,5
3.5,0.367,5,5
3.5,0.367,5,5
3.5,0.367,5,5
3.5,0.367,4,5
3.5,0.433,6,6
3.5,0.433,5,5
3.5,0.433,5,5
3.5,0.433,5,5
3.5,0.5,6,6
3.5,0.5,5,5
3.5,0.5,5,5
3.5,0.5,5,5
3.5,0.6,5,5
3.5,0.6,5,5
3.5,0.6,5,5
3.5,0.6,5,5
3.75,0.1,1,5
3.75,0.1,0,5
3.75,0.1,2,5
3.75,0.1,0,5
3.75,0.2,3,4
3.75,0.2,5,5
3.75,0.2,2,5
3.75,0.2,2,5
3.75,0.267,4,5
3.75,0.267,5,5
3.75,0.267,4,5
3.75,0.267,5,5
3.75,0.333,6,7
3.75,0.333,6,6
3.75,0.333,4,5
4,0.15,5,5
4,0.15,4,5
4,0.15,5,5
4,0.15,4,5
4,0.233,5,5
4,0.233,5,5
4,0.233,5,5
4,0.233,5,5
4,0.3,5,5
4,0.3,5,5
4,0.3,6,6
4,0.3,5,5
4,0.367,5,5
4,0.367,5,5
4,0.367,5,5
4,0.367,5,5
4,0.433,5,5
4,0.433,5,5
4,0.433,5,5
4,0.433,5,5
4.25,0.1,1,5
4.25,0.1,4,5
4.25,0.1,1,5
4.25,0.1,4,5
4.25,0.2,4,5
4.25,0.2,4,5
4.25,0.2,4,5
4.25,0.2,4,5
4.25,0.267,3,5
4.25,0.267,6,6
4.25,0.267,5,5
4.25,0.267,4,5
4.25,0.333,3,5
4.25,0.333,5,5
4.25,0.333,4,5
4.25,0.333,5,5
4.25,0.4,6,6
4.25,0.4,6,6
4.25,0.4,5,5
4.25,0.4,6,6
4.5,0.15,5,5
4.5,0.15,4,5
4.5,0.15,5,5
4.5,0.15,5,5
4.5,0.233,5,5
4.5,0.233,6,6
4.5,0.233,5,5
4.5,0.233,5,5
4.5,0.3,5,5
4.5,0.3,11,11
4.5,0.3,5,5
4.5,0.3,12,12
4.5,0.367,5,5
4.5,0.367,5,5
4.5,0.367,5,5
4.5,0.367,5,5
4.5,0.433,4,4
4.5,0.433,5,5
4.5,0.433,5,5
4.5,0.433,5,5
